40  175
1;2      0
1;3      1
1;4      2
1;5      3
1;6      4
2;3      0
2;4      1
2;5      2
2;6      3
2;7      4
3;4      0
3;5      1
3;6      2
3;7      3
3;8      4
4;5      0
4;6      1
4;7      2
4;8      3
4;9      4
5;6      0
5;7      1
5;8      2
5;9      3
5;10     4
6;7      0
6;8      1
6;9      2
6;10     3
6;11     4
7;8      0
7;9      1
7;10     2
7;11     3
7;12     4
8;9      0
8;10     1
8;11     2
8;12     3
8;13     4
9;10     0
9;11     1
9;12     2
9;13     3
9;14     4
10;11    0
10;12    1
10;13    2
10;14    3
10;15    4
11;12    0
11;13    1
11;14    2
11;15    3
11;16    4
12;13    0
12;14    1
12;15    2
12;16    3
12;17    4
13;14    0
13;15    1
13;16    2
13;17    3
13;18    4
14;15    0
14;16    1
14;17    2
14;18    3
14;19    4
15;16    0
15;17    1
15;18    2
15;19    3
15;20    4
16;17    0
16;18    1
16;19    2
16;20    3
16;21    4
17;18    0
17;19    1
17;20    2
17;21    3
17;22    4
18;19    0
18;20    1
18;21    2
18;22    3
18;23    4
19;24    0
19;25    1
19;26    2
19;27    3
19;28    4
20;21    0
20;22    1
20;23    2
20;24    3
20;25    4
21;22    0
21;23    1
21;24    2
21;25    3
21;26    4
22;23    0
22;24    1
22;25    2
22;26    3
22;27    4
23;24    0
23;25    1
23;26    2
23;27    3
23;28    4
24;25    0
24;26    1
24;27    2
24;28    3
24;29    4
25;26    0
25;27    1
25;28    2
25;29    3
25;30    4
26;31    0
26;32    1
26;33    2
26;34    3
26;35    4
27;28    0
27;29    1
27;30    2
27;31    3
27;32    4
28;29    0
28;30    1
28;31    2
28;32    3
28;33    4
29;30    0
29;31    1
29;32    2
29;33    3
29;34    4
30;31    0
30;32    1
30;33    2
30;34    3
30;35    4
31;32    0
31;33    1
31;34    2
31;35    3
31;36    4
32;33    0
32;34    1
32;35    2
32;36    3
32;37    4
33;34    0
33;35    1
33;36    2
33;37    3
33;38    4
34;35    0
34;36    1
34;37    2
34;38    3
34;39    4
35;36    0
35;37    1
35;38    2
35;39    3
35;40    4
